DATE,FEDERAL_INTEREST_RATE
8/31/2022,2.33
9/7/2022,2.33
9/14/2022,2.33
9/21/2022,2.33
9/28/2022,3.08
10/5/2022,3.08
10/12/2022,3.08
10/19/2022,3.08
10/26/2022,3.08
11/2/2022,3.08
11/9/2022,3.83
11/16/2022,3.83
11/23/2022,3.83
11/30/2022,3.83
12/7/2022,3.83
12/14/2022,3.83
12/21/2022,4.33
12/28/2022,4.33
1/4/2023,4.33
1/11/2023,4.33
1/18/2023,4.33
1/25/2023,4.33
2/1/2023,4.33
2/8/2023,4.58
2/15/2023,4.58
2/22/2023,4.58
3/1/2023,4.58
3/8/2023,4.57
3/15/2023,4.57
3/22/2023,4.58
3/29/2023,4.83
4/5/2023,4.83
4/12/2023,4.83
4/19/2023,4.83
4/26/2023,4.83
5/3/2023,4.83
5/10/2023,5.08
5/17/2023,5.08
5/24/2023,5.08
5/31/2023,5.08
6/7/2023,5.08
6/14/2023,5.08
6/21/2023,5.08
6/28/2023,5.07
7/5/2023,5.08
7/12/2023,5.08
7/19/2023,5.08
7/26/2023,5.08
8/2/2023,5.33
8/9/2023,5.33
8/16/2023,5.33
8/23/2023,5.33
8/30/2023,5.33
9/6/2023,5.33
9/13/2023,5.33
9/20/2023,5.33
9/27/2023,5.33
10/4/2023,5.33
10/11/2023,5.33
10/18/2023,5.33
10/25/2023,5.33
11/1/2023,5.33
11/8/2023,5.33
11/15/2023,5.33
11/22/2023,5.33
11/29/2023,5.33
12/6/2023,5.33
12/13/2023,5.33
12/20/2023,5.33
12/27/2023,5.33
1/3/2024,5.33
1/10/2024,5.33
1/17/2024,5.33
1/24/2024,5.33
1/31/2024,5.33
2/7/2024,5.33
2/14/2024,5.33
2/21/2024,5.33
2/28/2024,5.33
3/6/2024,5.33
3/13/2024,5.33
3/20/2024,5.33
3/27/2024,5.33
4/3/2024,5.33
4/10/2024,5.33
4/17/2024,5.33
4/24/2024,5.33
5/1/2024,5.33
5/8/2024,5.33
5/15/2024,5.33
5/22/2024,5.33
5/29/2024,5.33
6/5/2024,5.33
6/12/2024,5.33
6/19/2024,5.33
6/26/2024,5.33
7/3/2024,5.33
7/10/2024,5.33
7/17/2024,5.33
7/24/2024,5.33
7/31/2024,5.33
8/7/2024,5.33
8/14/2024,5.33
8/21/2024,5.33
8/28/2024,5.33
9/4/2024,5.33
9/11/2024,5.33
9/18/2024,5.33
9/25/2024,4.83
10/2/2024,4.83
10/9/2024,4.83
10/16/2024,4.83
10/23/2024,4.83
10/30/2024,4.83
11/6/2024,4.83
11/13/2024,4.62
11/20/2024,4.58
11/27/2024,4.58
12/4/2024,4.58
12/11/2024,4.58
12/18/2024,4.58
12/25/2024,4.33
1/1/2025,4.33
1/8/2025,4.33
1/15/2025,4.33
1/22/2025,4.33
1/29/2025,4.33
2/5/2025,4.33
