DATE,US_MXN_RATES
2/26/2024,17.0944
2/23/2024,17.107
2/22/2024,17.098
2/21/2024,17.0382
2/20/2024,17.048
2/19/2024,17.041
2/16/2024,17.051
2/15/2024,17.039
2/14/2024,17.073
2/13/2024,17.175
2/12/2024,17.0644
2/9/2024,17.076
2/8/2024,17.1408
2/7/2024,17.026
2/6/2024,17.032
2/5/2024,17.111
2/2/2024,17.113
2/1/2024,17.08
1/31/2024,17.212
1/30/2024,17.14
1/29/2024,17.218
1/26/2024,17.1543
1/25/2024,17.19
1/24/2024,17.21
1/23/2024,17.3
1/22/2024,17.174
1/19/2024,17.078
1/18/2024,17.146
1/17/2024,17.194
1/16/2024,17.202
1/15/2024,16.877
1/12/2024,16.861
1/11/2024,16.91
1/10/2024,16.95
1/9/2024,16.961
1/8/2024,16.817
1/5/2024,16.866
1/4/2024,17.008
1/3/2024,17.003
1/2/2024,17.014
1/1/2024,16.9642
12/29/2023,16.954
12/28/2023,16.929
12/27/2023,16.918
12/26/2023,16.975
12/25/2023,17.013
12/22/2023,16.968
12/21/2023,17.022
12/20/2023,17.1414
12/19/2023,17.066
12/18/2023,17.1574
12/15/2023,17.184
12/14/2023,17.186
12/13/2023,17.235
12/12/2023,17.3034
12/11/2023,17.3755
12/8/2023,17.347
12/7/2023,17.453
12/6/2023,17.258
12/5/2023,17.3775
12/4/2023,17.4522
12/1/2023,17.17
11/30/2023,17.3784
11/29/2023,17.276
11/28/2023,17.1356
11/27/2023,17.1645
11/24/2023,17.1
11/23/2023,17.179
11/22/2023,17.178
11/21/2023,17.181
11/20/2023,17.1097
11/17/2023,17.206
11/16/2023,17.2236
11/15/2023,17.2947
11/14/2023,17.339
11/13/2023,17.596
11/10/2023,17.632
11/9/2023,17.808
11/8/2023,17.5333
11/7/2023,17.472
11/6/2023,17.5431
11/3/2023,17.449
11/2/2023,17.5096
11/1/2023,17.7647
10/31/2023,18.037
10/30/2023,18.0449
10/27/2023,18.113
10/26/2023,18.1498
10/25/2023,18.31
10/24/2023,18.248
10/23/2023,18.139
10/20/2023,18.223
10/19/2023,18.313
10/18/2023,18.24
10/17/2023,18.009
10/16/2023,17.872
10/13/2023,18.062
10/12/2023,17.967
10/11/2023,17.8286
10/10/2023,17.9306
10/9/2023,18.1873
10/6/2023,18.1638
10/5/2023,18.2462
10/4/2023,17.949
10/3/2023,18.0653
10/2/2023,17.664
9/29/2023,17.397
9/28/2023,17.54
9/27/2023,17.6663
9/26/2023,17.524
9/25/2023,17.3893
9/22/2023,17.1989
9/21/2023,17.224
9/20/2023,17.0879
9/19/2023,17.0774
9/18/2023,17.131
9/15/2023,17.064
9/14/2023,17.104
9/13/2023,17.147
9/12/2023,17.199
9/11/2023,17.265
9/8/2023,17.577
9/7/2023,17.574
9/6/2023,17.553
9/5/2023,17.406
9/4/2023,17.168
9/1/2023,17.076
8/31/2023,17.027
8/30/2023,16.728
8/29/2023,16.79
8/28/2023,16.778
8/25/2023,16.723
8/24/2023,16.814
8/23/2023,16.79
8/22/2023,16.902
8/21/2023,17.02
8/18/2023,17.035
8/17/2023,17.098
8/16/2023,17.132
8/15/2023,17.14
8/14/2023,17.038
8/11/2023,16.988
8/10/2023,17.13
8/9/2023,17.0533
8/8/2023,17.1074
8/7/2023,17.045
8/4/2023,17.051
8/3/2023,17.323
8/2/2023,17.008
8/1/2023,16.875
7/31/2023,16.728
7/28/2023,16.673
7/27/2023,16.86
7/26/2023,16.834
7/25/2023,16.92
7/24/2023,16.82
7/21/2023,16.976
7/20/2023,16.873
7/19/2023,16.7066
7/18/2023,16.74
7/17/2023,16.72
7/14/2023,16.736
7/13/2023,16.8371
7/12/2023,16.884
7/11/2023,17.0379
7/10/2023,17.04
7/7/2023,17.136
7/6/2023,17.227
7/5/2023,17.0026
7/4/2023,17.0608
7/3/2023,17.042
6/30/2023,17.1135
6/29/2023,17.1231
6/28/2023,17.07
6/27/2023,17.0797
6/26/2023,17.133
6/23/2023,17.157
6/22/2023,17.165
6/21/2023,17.116
6/20/2023,17.203
6/19/2023,17.07
6/16/2023,17.062
6/15/2023,17.105
6/14/2023,17.102
6/13/2023,17.201
6/12/2023,17.27
6/9/2023,17.278
6/8/2023,17.365
6/7/2023,17.357
6/6/2023,17.375
6/5/2023,17.457
6/2/2023,17.541
6/1/2023,17.5474
5/31/2023,17.6819
5/30/2023,17.643
5/29/2023,17.575
5/26/2023,17.61
5/25/2023,17.848
5/24/2023,17.795
5/23/2023,17.946
5/22/2023,17.879
5/19/2023,17.77
5/18/2023,17.703
5/17/2023,17.587
5/16/2023,17.488
5/15/2023,17.434
5/12/2023,17.581
5/11/2023,17.573
5/10/2023,17.5465
5/9/2023,17.747
5/8/2023,17.79
5/5/2023,17.745
5/4/2023,17.902
5/3/2023,17.916
5/2/2023,17.974
5/1/2023,17.931
4/28/2023,17.98
4/27/2023,18.026
4/26/2023,18.137
4/25/2023,18.07
4/24/2023,17.967
4/21/2023,17.968
4/20/2023,17.987
4/19/2023,18.033
4/18/2023,18.051
4/17/2023,18.012
4/14/2023,17.996
4/13/2023,17.998
4/12/2023,18.063
4/11/2023,18.157
4/10/2023,18.162
4/7/2023,18.115
4/6/2023,18.2251
4/5/2023,18.286
4/4/2023,18.117
4/3/2023,18.056
3/31/2023,18.0099
3/30/2023,18.076
3/29/2023,18.0836
3/28/2023,18.225
3/27/2023,18.3335
3/24/2023,18.414
3/23/2023,18.5536
3/22/2023,18.606
3/21/2023,18.587
3/20/2023,18.8123
3/17/2023,18.883
3/16/2023,18.7023
3/15/2023,18.9579
3/14/2023,18.5899
3/13/2023,18.903
3/10/2023,18.48
3/9/2023,18.344
3/8/2023,17.968
3/7/2023,18.09
3/6/2023,17.984
3/3/2023,17.943
3/2/2023,18.114
3/1/2023,18.091
2/28/2023,18.301
2/27/2023,18.35
2/24/2023,18.391
2/23/2023,18.36
2/22/2023,18.345
2/21/2023,18.443
2/20/2023,18.37
2/17/2023,18.351
2/16/2023,18.511
2/15/2023,18.575
2/14/2023,18.511
2/13/2023,18.554
2/10/2023,18.645
2/9/2023,18.7703
2/8/2023,18.93
2/7/2023,18.8748
2/6/2023,19.16
2/3/2023,18.955
2/2/2023,18.645
2/1/2023,18.5999
1/31/2023,18.82
1/30/2023,18.7606
1/27/2023,18.76
1/26/2023,18.79
1/25/2023,18.775
1/24/2023,18.78
1/23/2023,18.801
1/20/2023,18.855
1/19/2023,18.975
1/18/2023,18.875
1/17/2023,18.65
1/16/2023,18.7716
1/13/2023,18.753
1/12/2023,18.8265
1/11/2023,18.91
1/10/2023,19.048
1/9/2023,19.13
1/6/2023,19.124
1/5/2023,19.31
1/4/2023,19.365
1/3/2023,19.4
1/2/2023,19.461
12/30/2022,19.474
12/29/2022,19.445
12/28/2022,19.42
12/27/2022,19.477
12/26/2022,19.385
12/23/2022,19.343
12/22/2022,19.537
12/21/2022,19.643
12/20/2022,19.743
12/19/2022,19.792
12/16/2022,19.77
12/15/2022,19.748
12/14/2022,19.604
12/13/2022,19.51
12/12/2022,19.844
12/9/2022,19.763
12/8/2022,19.6126
12/7/2022,19.657
12/6/2022,19.746
12/5/2022,19.726
